科目名	学部課程	年度	科目区分	科目小区分	必須度	学修プログラム
情報基礎	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
微分積分	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
微分方程式	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
数学・物理学演習Ⅰ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
物理学実験	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
力学・物理学演習Ⅱ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
電磁気	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
重積分	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
線形代数Ⅰ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
線形代数Ⅱ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
基礎力学Ⅰ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
基礎力学Ⅱ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
力学Ⅰ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
力学Ⅱ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
機械工学・ロボティクス課程入門	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	必修	NULL
フレッシャーズセミナー	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
理工学のすすめ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
キャリア実習・実習指導	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
機械力学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
材料力学基礎	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	[13,19]
流体力学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	[13]
アナログ電子制御	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
熱力学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	[13,16]
計測工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
計算機プログラミング実習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
機械製図Ⅰ	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
機械工学基礎実験	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
機械製図Ⅱ	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
ASEAN グローバルプログラム	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
インターンシップ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
クラウドコンピューティング演習	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
確率・統計Ⅰ	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
フーリエ変換	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
電磁気学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
確率・統計Ⅱ	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
ラプラス変換	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
ベクトル解析	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
振動工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12]
材料力学応用	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,13,15]
粘性流体力学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[13]
ディジタル電子制御	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[14]
機構学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[14,16]
機械材料学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,13,16]
複素解析	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
航空流体力学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[13]
計算機応用実習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
機械工学・ロボティクス課程実験	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
機械要素	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	[12,16]
材料力学・機械力学演習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
電子・制御演習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
熱・流体演習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
設計製図	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
セミナー	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
グローバル人材育成プログラム	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
プロジェクトリサーチⅠ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
プロジェクトリサーチⅡ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
先端理工キャリア実習Ⅰ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
先端理工インターンシップⅠ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
先端理工キャリア実習Ⅱ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
先端理工インターンシップⅡ	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
計測工学Ⅰ	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[14]
弾性構造力学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,13,15]
航空・宇宙工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[13,19]
熱工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[13,16]
制御系設計論	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[11,14,16]
計算力学実習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,15]
メカトロニクス	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[11,14]
先進材料科学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
機械加工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,16]
材料力学実習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
ロボット実習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[14,15]
熱・流体実習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
計測工学Ⅱ	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[14]
自動車工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[13]
機械設計	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12]
解析力学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,13,19]
バイオメカニクス	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,15,19]
材料強度学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,15]
伝熱工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[13,16]
システム工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
ロボット工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[11,14,15]
教養指導	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	随意	NULL
科学技術英語	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
特別研究	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
